Tiempo (s)	Temperatura (°C)	Voltaje HV (V)	Voltaje HV (V)	Corriente (nA)
1250	0	41.37	40.87	2.3
1252	0	41.36	40.86	2.39
1254	0	41.4	40.9	2.42
1256	0	41.39	40.89	2.35
1258	-0.1	41.39	40.89	2.41
1260	0	41.39	40.89	2.44
1262	0	41.39	40.89	2.37
1264	-0.1	41.39	40.89	2.39
1266	0	41.39	40.89	2.42
1268	-0.1	41.4	40.9	2.32
1270	0	41.39	40.89	2.43
1272	0	41.4	40.9	2.36
1274	0	41.39	40.89	2.39
1276	0	41.4	40.9	2.42
1278	-0.1	41.39	40.89	2.4
1280	0	41.39	40.89	2.43
1282	-0.1	41.39	40.89	2.37
1284	-0.1	41.39	40.89	2.4
1286	-0.1	41.39	40.89	2.41
1288	-0.1	41.38	40.88	2.4
1290	0	41.42	40.92	2.42
1292	0	41.45	40.95	2.38
1294	0	41.46	40.96	2.38
1296	0	41.45	40.95	2.44
1298	0	41.45	40.95	2.42
1300	0	41.45	40.95	2.41
1302	0	41.45	40.95	2.38
1304	0	41.45	40.95	2.38
1306	0	41.44	40.94	2.41
1308	0	42.15	41.65	2.4
1310	0	42.44	41.94	2.43
1312	0	42.45	41.95	2.44
1314	0	42.46	41.96	2.34
1316	0.1	42.46	41.96	2.44
1318	0	42.47	41.97	2.28
1320	0	42.46	41.96	2.45
1322	0	42.46	41.96	2.39
1324	0	42.45	41.95	2.45
1326	0	42.46	41.96	2.4
1328	0	42.45	41.95	2.47
1330	0	42.45	41.95	2.39
1332	0	42.45	41.95	2.45
1334	0	42.45	41.95	2.39
1336	0	42.44	41.94	2.42
1338	0	42.45	41.95	2.35
1340	0	42.45	41.95	2.46
1342	0	42.46	41.96	2.32
1344	0	42.44	41.94	2.5
1346	0	42.45	41.95	2.39
1348	0	42.51	42.01	2.39
1350	0	42.42	41.92	2.4
1352	-0.1	42.42	41.92	2.41
1354	0	42.41	41.91	2.44
1356	0	43.3	42.8	2.49
1358	-0.1	43.42	42.92	2.46
1360	0	43.42	42.92	2.47
1362	0	43.43	42.93	2.38
1364	0	43.42	42.92	2.47
1366	0	43.43	42.93	2.42
1368	0	43.43	42.93	2.41
1370	0	43.43	42.93	2.41
1372	0	43.43	42.93	2.45
1374	0	43.43	42.93	2.4
1376	0	43.42	42.92	2.47
1378	0	43.43	42.93	2.38
1380	0	43.43	42.93	2.37
1382	0	43.42	42.92	2.51
1384	0	43.43	42.93	2.42
1386	0.1	43.43	42.93	2.33
1388	0	43.43	42.93	2.35
1390	0	43.42	42.92	2.54
1392	0	43.43	42.93	2.4
1394	0	43.42	42.92	2.45
1396	0	43.42	42.92	2.43
1398	0	43.42	42.92	2.46
1400	0	44.28	43.78	2.47
1402	0	44.43	43.93	2.52
1404	0	44.44	43.94	2.47
1406	0	44.44	43.94	2.43
1408	0	44.44	43.94	2.51
1410	0	44.44	43.94	2.47
1412	0	44.44	43.94	2.48
1414	0	44.45	43.95	2.39
1416	0	44.44	43.94	2.5
1418	0	44.45	43.95	2.38
1420	0	44.44	43.94	2.51
1422	0	44.44	43.94	2.46
1424	0	44.45	43.95	2.39
1426	0	44.44	43.94	2.43
1428	0	44.44	43.94	2.51
1430	0	44.45	43.95	2.45
1432	0	44.45	43.95	2.47
1434	0	44.44	43.94	2.51
1436	0	44.45	43.95	2.4
1438	0	44.45	43.95	2.43
1440	0	44.44	43.94	2.47
1442	0	44.44	43.94	2.49
1444	0.1	44.46	43.96	2.33
1446	0	44.45	43.95	2.39
1448	0	44.44	43.94	2.53
1450	0	44.44	43.94	2.45
1452	0	45.31	44.81	2.53
1454	0	45.46	44.96	2.45
1456	0	45.46	44.96	2.53
1458	0	45.47	44.97	2.43
1460	0	45.47	44.97	2.57
1462	0	45.47	44.97	2.54
1464	0	45.47	44.97	2.49
1466	0	45.47	44.97	2.47
1468	0	45.47	44.97	2.54
1470	0	45.47	44.97	2.56
1472	0	45.48	44.98	2.41
1474	-0.1	45.46	44.96	2.6
1476	0	45.46	44.96	2.57
1478	0	45.47	44.97	2.5
1480	-0.1	45.47	44.97	2.52
1482	-0.1	45.47	44.97	2.54
1484	-0.1	45.47	44.97	2.54
1486	0	45.47	44.97	2.52
1488	0	45.47	44.97	2.54
1490	0	45.47	44.97	2.49
1492	0	45.47	44.97	2.51
1494	0	45.47	44.97	2.56
1496	0	45.47	44.97	2.52
1498	0	45.47	44.97	2.5
1500	0	46.01	45.51	2.56
1502	-0.1	46.46	45.96	2.53
1504	0	46.47	45.97	2.59
1506	0	46.49	45.99	2.57
1508	0	46.49	45.99	2.57
1510	0	46.49	45.99	2.55
1512	-0.1	46.49	45.99	2.5
1514	0	46.48	45.98	2.68
1516	0	46.49	45.99	2.53
1518	0	46.49	45.99	2.56
1520	0	46.49	45.99	2.53
1522	0	46.49	45.99	2.58
1524	0	46.49	45.99	2.55
1526	0	46.49	45.99	2.49
1528	0	46.49	45.99	2.62
