Tiempo (s)	Temperatura (°C)	Voltaje HV (V) Sin correccion	Voltaje HV (V)	Corriente (nA)
1000	9.9	40.98	40.88	3.3
1002	9.9	40.98	40.88	3.32
1004	10	40.98	40.88	3.3
1006	9.9	40.99	40.89	3.5
1008	9.9	40.98	40.88	3.4
1010	9.9	40.98	40.88	3.28
1012	9.9	40.98	40.88	3.34
1014	9.9	40.98	40.88	3.22
1016	9.9	40.98	40.88	3.37
1018	9.9	40.98	40.88	3.4
1020	9.9	40.98	40.88	3.33
1022	9.8	40.98	40.88	3.28
1024	9.8	40.98	40.88	3.29
1026	9.9	40.97	40.87	3.21
1028	9.9	40.99	40.89	3.42
1030	9.9	40.98	40.88	3.34
1032	10	40.98	40.88	3.34
1034	10	40.99	40.89	3.54
1036	9.9	40.99	40.89	3.51
1038	9.9	40.98	40.88	3.32
1040	10	40.98	40.88	3.4
1042	10	40.99	40.89	3.5
1044	9.9	40.98	40.88	3.32
1046	9.8	40.98	40.88	3.25
1048	10	40.97	40.87	3.22
1050	10	41	40.9	3.53
1052	10	40.99	40.89	3.48
1054	9.9	40.98	40.88	3.45
1056	10	40.97	40.87	3.17
1058	10	40.98	40.88	3.27
1060	9.9	40.99	40.89	3.39
1062	10	40.98	40.88	3.26
1064	10	40.99	40.89	3.39
1066	9.9	40.98	40.88	3.25
1068	9.9	40.98	40.88	3.29
1070	10	40.98	40.88	3.25
1072	10	40.99	40.89	3.4
1074	10	40.98	40.88	3.37
1076	10	40.99	40.89	3.42
1078	10	40.98	40.88	3.33
1080	10	40.99	40.89	3.34
1082	9.9	40.99	40.89	3.46
1084	10	40.97	40.87	3.22
1086	10	40.99	40.89	3.41
1088	10	40.98	40.88	3.35
1090	10	40.98	40.88	3.32
1092	10	40.99	40.89	3.34
1094	10	40.98	40.88	3.21
1096	10	40.98	40.88	3.29
1098	10	40.98	40.88	3.29
1100	10	41.05	40.95	3.48
1102	9.9	41	40.9	3.31
1104	10	41.01	40.91	3.27
1106	9.9	41.02	40.92	3.42
1108	10	41.02	40.92	3.28
1110	10	41.03	40.93	3.29
1112	10	41.03	40.93	3.21
1114	10	41.03	40.93	3.44
1116	10	41.03	40.93	3.4
1118	10	41.02	40.92	3.18
1120	10.1	41.03	40.93	3.33
1122	10	41.03	40.93	3.47
1124	10	41.02	40.92	3.29
1126	10	41.03	40.93	3.36
1128	9.9	41.03	40.93	3.33
1130	9.9	41.02	40.92	3.25
1132	9.9	41.02	40.92	3.22
1134	9.9	41.03	40.93	3.36
1136	10	41.02	40.92	3.41
1138	10	41.02	40.92	3.4
1140	10	41.03	40.93	3.42
