Tiempo (s)	Temperatura (°C)	Voltaje HV (V) Sin correccion	Voltaje HV (V)	Corriente (nA)								
650	15.2	40.97	40.86	1.88								
652	15.3	40.97	40.86	1.9								
654	15	40.97	40.86	2.07								
656	15.2	40.95	40.84	1.73								
658	15.2	40.98	40.87	2.02								
660	15.2	40.97	40.86	1.92								
662	15.1	40.97	40.86	1.95								
664	15.1	40.97	40.86	1.87								
666	15.1	40.97	40.86	1.88								
668	15.1	40.97	40.86	1.86								
670	15.1	40.97	40.86	1.96								
672	15.1	40.97	40.86	1.94								
674	15.1	40.97	40.86	1.89								
676	15.1	40.97	40.86	1.87								
678	15.1	40.97	40.86	1.87								
680	15.1	40.97	40.86	1.91								
682	15.1	40.97	40.86	1.9								
684	15.1	40.97	40.86	1.89								
686	15.1	40.97	40.86	1.81								 
688	15.1	40.97	40.86	1.91								
690	15.2	40.97	40.86	1.84								
692	15.1	40.98	40.87	2.07								
694	15.1	40.97	40.86	1.87								
696	15.2	40.96	40.85	1.8								
698	15.1	40.98	40.87	2.06								
700	15.1	40.96	40.85	1.79								
702	15.1	41	40.89	1.87								
704	15.1	40.94	40.83	1.84								
706	15.1	40.96	40.85	1.82								
708	15.1	40.97	40.86	1.92								
710	15.3	40.97	40.86	1.84								
712	15.1	40.98	40.87	2.04								
714	15.1	40.96	40.85	1.79								
716	15.1	40.97	40.86	1.86								
718	15.1	40.97	40.86	1.86								
720	15.1	40.97	40.86	1.87								
722	15.1	40.96	40.85	1.8								
724	15.1	40.97	40.86	1.92								
726	15.1	40.97	40.86	1.81								
728	15.1	40.97	40.86	1.9								
730	15.1	40.97	40.86	1.86								
732	15.1	40.97	40.86	1.91								
734	15.2	40.97	40.86	1.84								
736	15.1	40.97	40.86	1.96								
738	15.1	40.97	40.86	1.88								
740	15.1	40.97	40.86	1.82								
742	15.1	40.97	40.86	1.83								
744	15	40.97	40.86	1.9								
746	15	40.96	40.85	1.78								
748	15	40.97	40.86	1.8								
750	15	40.99	40.88	1.8								
752	15	41.01	40.9	1.81								
754	15.1	40.99	40.88	1.84								
756	15	41	40.89	1.91								
758	15	41	40.89	1.82								
760	15	41	40.89	1.83								
762	15.1	41.01	40.9	1.84								
764	15.2	41	40.89	1.91								
766	15	41.01	40.9	1.99								
768	15.1	41	40.89	1.75								
770	15	41.01	40.9	2.06								
772	15.1	41	40.89	1.73								
774	15.1	41.01	40.9	1.99								
776	15.1	41.01	40.9	1.91								
778	15.1	41	40.89	1.9								
780	15	41	40.89	1.86								
782	15.1	41.01	40.9	1.84								
784	15.2	41.01	40.9	1.88								
786	15.1	41.01	40.9	2.02								
788	15.1	41	40.89	1.82								
790	15.3	41.01	40.9	1.87								
792	15.1	41.02	40.91	2.18								
794	15.1	41	40.89	1.76								
796	15.1	41	40.89	1.83								
798	15	41	40.89	1.88								
800	15.1	41.28	41.17	1.91								
802	15.1	41.5	41.39	1.99								
804	15	41.5	41.39	1.89								
806	15	41.51	41.4	1.81								
808	15.1	41.51	41.4	1.8								
810	15.1	41.51	41.4	1.91								
812	15	41.51	41.4	1.83								
814	15	41.5	41.39	1.76								
816	15	41.52	41.41	1.87								
818	15	41.51	41.4	1.87								
820	15	41.51	41.4	1.85								
822	15	41.51	41.4	1.83								
824	15	41.51	41.4	1.86								
826	15	41.51	41.4	1.88								
828	15.1	41.51	41.4	1.79								
830	15.2	41.51	41.4	1.82								
832	15.1	41.52	41.41	2.02								
834	15.1	41.51	41.4	1.75								
836	15.1	41.51	41.4	1.87								
838	15.1	41.51	41.4	1.85								
840	15.1	41.51	41.4	1.93								
842	15.1	41.51	41.4	1.86								
844	15	41.51	41.4	1.9								
846	15.1	41.51	41.4	1.83								
848	15.2	41.51	41.4	1.84								
850	15.1	41.68	41.57	2								
852	15.1	41.98	41.87	1.88								
854	15.1	42	41.89	1.82								
856	15.1	42.01	41.9	1.95								
858	15	42	41.89	1.84								
860	15	42	41.89	1.79								
862	15.1	42.01	41.9	1.89								
864	15	42.01	41.9	1.92								
866	15.1	42.01	41.9	1.87								
868	15.2	42.01	41.9	1.91								
870	15	42.02	41.91	2.07								
872	15.1	42.01	41.9	1.8								
874	15	42.01	41.9	1.92								
876	15.1	42.01	41.9	1.87								
878	15	42.01	41.9	1.89								
880	15	42.01	41.9	1.9								
882	15	42.01	41.9	1.88								
884	15	42.01	41.9	1.79								
886	15.1	42.01	41.9	1.91								
888	15.1	42.01	41.9	1.97								
890	15.1	42.01	41.9	1.84								
892	15.1	42.01	41.9	1.84								
894	15.1	42.02	41.91	1.92								
896	15	42.01	41.9	1.85								
898	15.1	42.01	41.9	1.88								
900	15	42.01	41.9	1.99								
902	15.1	42.48	42.37	1.79								
904	15.1	42.51	42.4	2								
906	15.1	42.51	42.4	1.89								
908	15	42.52	42.41	1.85								
910	15	42.52	42.41	1.85								
912	15.1	42.51	42.4	1.81								
914	15.1	42.52	42.41	1.92								
916	15	42.52	42.41	2.02								
918	15	42.52	42.41	1.82								
920	15	42.52	42.41	1.92								
922	15	42.52	42.41	1.91								
924	15	42.52	42.41	1.93								
926	15	42.51	42.4	1.87								
928	15.1	42.52	42.41	1.92								
930	15	42.52	42.41	1.92								
932	15	42.52	42.41	1.89								
934	15	42.52	42.41	1.91								
936	15	42.52	42.41	1.91								
938	15.1	42.52	42.41	1.86								
940	15	42.52	42.41	1.96								
942	15	42.52	42.41	1.85								
944	15	42.52	42.41	1.85								
946	15	42.52	42.41	1.88								
948	15.1	42.52	42.41	1.89								
950	15.1	42.52	42.41	1.92								
952	15	42.52	42.41	1.94								
954	15	42.6	42.49	1.86								
956	15	43.03	42.92	1.9								
958	15.2	43	42.89	1.89								
960	15	43.02	42.91	2.14								
962	15	43	42.89	1.8								
964	15	43.01	42.9	1.82								
966	15.1	43.02	42.91	1.98								
968	15.1	43.02	42.91	1.92								
970	15	43.02	42.91	1.95								
