Tiempo (s)	Temperatura (°C)		Voltaje HV (V)	Corriente (nA)
602	40.1		40.92	2.5
604	40.1		40.92	2.53
606	40.1		40.92	2.52
608	40.1		40.92	2.56
610	40.1		40.92	2.51
612	40.1		40.92	2.53
614	40.1		40.92	2.55
616	40.1		40.92	2.55
618	40.1		40.92	2.57
620	40.1		40.92	2.51
622	40.1		40.92	2.56
624	40.1		40.92	2.56
626	40.1		40.92	2.51
628	40.1		40.92	2.51
630	40.1		40.92	2.51
632	40.1		40.92	2.52
634	40.1		40.92	2.53
636	40.1		40.91	2.5
638	40.1		40.92	2.52
640	40.1		40.92	2.53
642	40.1		40.92	2.53
644	40.1		40.92	2.48
646	40.1		40.91	2.52
648	40.1		40.92	2.5
650	40.1		40.95	2.53
652	40.1		40.89	2.48
654	40.1		40.91	2.54
656	40.1		40.91	2.48
658	40.1		40.91	2.51
660	40.1		40.91	2.51
662	40.1		40.92	2.5
664	40.1		40.92	2.5
666	40.1		40.92	2.5
668	40.1		40.92	2.54
670	40.1		40.92	2.5
672	40.1		40.91	2.55
674	40.1		40.92	2.51
676	40.1		40.92	2.55
678	40.1		40.92	2.48
680	40.1		40.92	2.54
682	40.1		40.92	2.51
684	40.1		40.92	2.48
686	40.1		40.92	2.49
688	40.1		40.92	2.54
690	40.1		40.92	2.47
692	40.1		40.92	2.52
694	40.1		40.92	2.48
696	40.1		40.92	2.52
698	40.1		40.91	2.5
700	40.1		40.92	2.49
702	40.1		40.96	2.55
704	40.1		40.95	2.48
706	40.1		40.96	2.51
708	40.1		40.96	2.46
710	40.1		40.96	2.5
712	40.1		40.96	2.48
714	40.1		40.97	2.51
716	40.1		40.96	2.5
718	40.1		40.96	2.47
720	40.1		40.96	2.5
722	40.1		40.97	2.47
724	40.1		40.96	2.52
726	40.1		40.96	2.52
728	40.1		40.96	2.51
730	40.1		40.96	2.49
732	40.1		40.96	2.54
734	40.1		40.97	2.48
736	40.1		40.96	2.51
738	40.1		40.97	2.47
740	40.1		40.96	2.53
742	40.1		40.96	2.49
744	40.1		40.96	2.52
746	40.1		40.97	2.46
748	40.1		40.96	2.52
750	40.1		41.34	2.52
752	40.1		41.45	2.52
754	40.1		41.45	2.5
756	40.1		41.45	2.51
758	40.1		41.45	2.48
760	40.1		41.45	2.48
762	40.1		41.46	2.53
764	40.1		41.46	2.52
766	40.1		41.46	2.47
768	40.1		41.46	2.46
770	40.1		41.46	2.5
772	40.1		41.46	2.48
774	40.1		41.46	2.51
776	40.1		41.46	2.51
778	40.1		41.46	2.51
780	40.1		41.46	2.51
782	40.1		41.46	2.51
784	40.1		41.46	2.46
786	40.1		41.46	2.49
788	40.1		41.46	2.48
790	40.1		41.46	2.48
792	40.1		41.46	2.47
794	40.1		41.46	2.49
796	40.1		41.46	2.48
798	40.1		41.46	2.5
800	40.1		41.46	2.49
802	40.1		41.46	2.49
804	40.1		41.47	2.51
806	40.1		41.97	2.53
808	40.1		41.95	2.49
810	40.1		41.95	2.47
812	40		41.96	2.48
814	40.1		41.96	2.48
816	40.1		41.96	2.5
818	40.1		41.96	2.49
820	40.1		41.96	2.48
822	40.1		41.96	2.48
824	40.1		41.97	2.43
826	40.1		41.96	2.45
828	40		41.96	2.5
