Tiempo (s)	Temperatura (°C)	Voltaje HV (V)	Voltaje HV (V)	Corriente (nA)			
950	5.1	41.05	40.85	3.79			
952	5.1	41.05	40.85	3.82			
954	5.3	41.04	40.84	3.9			
956	5.1	41.05	40.85	3.82			
958	5.2	41.06	40.86	3.73			
960	5.2	41.04	40.84	3.84			
962	5.1	41.05	40.85	3.81			
964	5.1	41.05	40.85	3.8			
966	5.2	41.04	40.84	3.8			
968	5.2	41.05	40.85	3.81			
970	5.1	41.05	40.85	3.76			
972	5.3	41.05	40.85	3.74			
974	5.1	41.04	40.84	3.79			
976	5.1	41.06	40.86	3.64			
978	5.2	41.04	40.84	3.83			
980	5.2	41.05	40.85	3.76			
982	5.2	41.05	40.85	3.72			
984	5.1	41.04	40.84	3.78			
986	5.1	41.05	40.85	3.73			
988	5.2	41.04	40.84	3.8			
990	5.3	41.05	40.85	3.77			
992	5.1	41.05	40.85	3.67			
994	5.2	41.05	40.85	3.7			
996	5.1	41.04	40.84	3.82			
998	5.4	41.05	40.85	3.8			
1000	5.1	41.07	40.87	3.84			
1002	5.1	41.05	40.85	3.53			
1004	5.2	41.04	40.84	3.84			
1006	5.2	41.04	40.84	3.88			
1008	5.1	41.05	40.85	3.77			
1010	5.2	41.05	40.85	3.82			
1012	5.2	41.05	40.85	3.82			
1014	5.2	41.05	40.85	3.71			
1016	5.2	41.05	40.85	3.76			
1018	5.1	41.05	40.85	3.71			
1020	5.1	41.05	40.85	3.81			
1022	5.1	41.04	40.84	3.87			
1024	5.2	41.05	40.85	3.81			
1026	5.2	41.05	40.85	3.8			
1028	5.1	41.05	40.85	3.79			
1030	5.1	41.05	40.85	3.81			
1032	5.1	41.04	40.84	3.86			
1034	5.1	41.04	40.84	3.81			
1036	5.1	41.05	40.85	3.8			
1038	5.1	41.05	40.85	3.82			
1040	5.2	41.04	40.84	3.86			
1042	5.2	41.05	40.85	3.85			
1044	5.1	41.05	40.85	3.77			
1046	5.1	41.05	40.85	3.79			
1048	5.3	41.04	40.84	3.89			
1050	5.1	41.1	40.9	3.84			
1052	5.1	41.08	40.88	3.64			
1054	5.2	41.08	40.88	3.88			
1056	5.2	41.09	40.89	3.81			
1058	5.1	41.09	40.89	3.77			
